2021-10-05 22:48:34 - main_link_prediction.py[line:412] - INFO: - Namespace(batch_size=320000, dataset='MyDataset', decoder='DisMult', dropout=0.05, eval_every=1, fan_out='10,25', gpu=0, log_every=20, loss='CrossEntropyLoss', lr=0.001, margin=10.0, model='RGCN', neg_share=False, num_epochs=50, num_heads=[8, 4], num_hidden=64, num_layers=2, num_negs=1, num_output=64, num_workers=0)
2021-10-05 22:48:39 - main_link_prediction.py[line:168] - INFO: - --------------------------------------------------
2021-10-05 22:48:39 - main_link_prediction.py[line:169] - INFO: - Dataloader size: 109
2021-10-05 22:48:39 - main_link_prediction.py[line:170] - INFO: - Dataloader sample graph: 40787683
2021-10-05 22:48:39 - main_link_prediction.py[line:171] - INFO: - Train Edges: 34671896
2021-10-05 22:48:39 - main_link_prediction.py[line:172] - INFO: - Test Edges: 2037945
2021-10-05 22:48:39 - main_link_prediction.py[line:173] - INFO: - Valid Edges: 4077830
2021-10-05 22:48:39 - main_link_prediction.py[line:181] - INFO: - --------------------------------------------------
2021-10-05 22:49:08 - utils.py[line:544] - INFO: - F1 0.5000 | Precision 0.5000 | Recall 0.5000 | TP 160009.5156 | TN 160003.0312 | FP 159996.9688 | FN 159990.4844
2021-10-05 22:49:34 - utils.py[line:544] - INFO: - F1 0.5000 | Precision 0.5000 | Recall 0.5001 | TP 160017.3750 | TN 160002.2656 | FP 159997.7344 | FN 159982.6250
2021-10-05 22:49:58 - utils.py[line:544] - INFO: - F1 0.5001 | Precision 0.5000 | Recall 0.5001 | TP 160021.2969 | TN 160001.5938 | FP 159998.4062 | FN 159978.7031
2021-10-05 22:50:22 - utils.py[line:544] - INFO: - F1 0.5001 | Precision 0.5000 | Recall 0.5001 | TP 160022.9375 | TN 160001.8281 | FP 159998.1719 | FN 159977.0625
2021-10-05 22:50:47 - utils.py[line:544] - INFO: - F1 0.5001 | Precision 0.5000 | Recall 0.5001 | TP 160022.1250 | TN 160001.3438 | FP 159998.6562 | FN 159977.8750
2021-10-05 22:51:11 - utils.py[line:544] - INFO: - F1 0.5001 | Precision 0.5000 | Recall 0.5001 | TP 160028.5625 | TN 160001.4062 | FP 159998.5938 | FN 159971.4375
2021-10-05 22:51:35 - utils.py[line:544] - INFO: - F1 0.5001 | Precision 0.5000 | Recall 0.5001 | TP 160030.5625 | TN 160001.2031 | FP 159998.7969 | FN 159969.4375
2021-10-05 22:51:59 - utils.py[line:544] - INFO: - F1 0.5001 | Precision 0.5001 | Recall 0.5001 | TP 160035.5938 | TN 160004.0625 | FP 159995.9375 | FN 159964.4062
2021-10-05 22:52:23 - utils.py[line:544] - INFO: - F1 0.5001 | Precision 0.5001 | Recall 0.5001 | TP 160035.0312 | TN 160000.2656 | FP 159999.7344 | FN 159964.9688
2021-10-05 22:52:47 - utils.py[line:544] - INFO: - F1 0.5001 | Precision 0.5001 | Recall 0.5002 | TP 160052.8750 | TN 159999.5938 | FP 160000.4062 | FN 159947.1250
2021-10-05 22:53:11 - utils.py[line:544] - INFO: - F1 0.5001 | Precision 0.5001 | Recall 0.5002 | TP 160051.8750 | TN 159999.1719 | FP 160000.8281 | FN 159948.1406
2021-10-05 22:53:35 - utils.py[line:544] - INFO: - F1 0.5001 | Precision 0.5001 | Recall 0.5002 | TP 160049.6875 | TN 159999.9062 | FP 160000.0938 | FN 159950.3281
2021-10-05 22:53:59 - utils.py[line:544] - INFO: - F1 0.5001 | Precision 0.5001 | Recall 0.5002 | TP 160062.1719 | TN 159999.0625 | FP 160000.9375 | FN 159937.8281
2021-10-05 22:54:23 - utils.py[line:544] - INFO: - F1 0.5001 | Precision 0.5001 | Recall 0.5002 | TP 160062.8750 | TN 159999.1875 | FP 160000.8125 | FN 159937.1250
2021-10-05 22:54:47 - utils.py[line:544] - INFO: - F1 0.5001 | Precision 0.5001 | Recall 0.5002 | TP 160060.1562 | TN 159998.7344 | FP 160001.2656 | FN 159939.8438
2021-10-05 22:55:11 - utils.py[line:544] - INFO: - F1 0.5002 | Precision 0.5001 | Recall 0.5002 | TP 160065.8281 | TN 159997.7344 | FP 160002.2656 | FN 159934.1719
2021-10-05 22:55:35 - utils.py[line:544] - INFO: - F1 0.5002 | Precision 0.5001 | Recall 0.5003 | TP 160083.9375 | TN 159998.9219 | FP 160001.0781 | FN 159916.0625
2021-10-05 22:55:59 - utils.py[line:544] - INFO: - F1 0.5002 | Precision 0.5001 | Recall 0.5002 | TP 160073.7500 | TN 159998.6562 | FP 160001.3438 | FN 159926.2500
2021-10-05 22:56:23 - utils.py[line:544] - INFO: - F1 0.5002 | Precision 0.5001 | Recall 0.5003 | TP 160086.3906 | TN 159998.4375 | FP 160001.5625 | FN 159913.6094
2021-10-05 22:56:47 - utils.py[line:544] - INFO: - F1 0.5002 | Precision 0.5001 | Recall 0.5003 | TP 160081.0469 | TN 159997.6406 | FP 160002.3594 | FN 159918.9688
2021-10-05 22:56:47 - main_link_prediction.py[line:294] - INFO: - Epoch 00000 | Step 00020 | Loss 60.9704 | F1 0.5001 0.5001 0.5001 | Speed (samples/sec) 13314.5555|13314.5555 | Load 6.5920| train 17.4440 | GPU 2752.9 MB
2021-10-05 22:57:11 - utils.py[line:544] - INFO: - F1 0.5003 | Precision 0.5002 | Recall 0.5003 | TP 160111.5625 | TN 159996.0469 | FP 160003.9531 | FN 159888.4375
2021-10-05 22:57:35 - utils.py[line:544] - INFO: - F1 0.5003 | Precision 0.5002 | Recall 0.5004 | TP 160128.7031 | TN 159992.3594 | FP 160007.6406 | FN 159871.2969
2021-10-05 22:57:59 - utils.py[line:544] - INFO: - F1 0.5003 | Precision 0.5002 | Recall 0.5004 | TP 160129.3438 | TN 159994.4688 | FP 160005.5312 | FN 159870.6562
2021-10-05 22:58:23 - utils.py[line:544] - INFO: - F1 0.5007 | Precision 0.5004 | Recall 0.5009 | TP 160297.6094 | TN 159971.1562 | FP 160028.8438 | FN 159702.3906
2021-10-05 22:58:47 - utils.py[line:544] - INFO: - F1 0.5003 | Precision 0.5002 | Recall 0.5004 | TP 160134.0312 | TN 159991.5156 | FP 160008.4844 | FN 159865.9688
2021-10-05 22:59:10 - utils.py[line:544] - INFO: - F1 0.5003 | Precision 0.5002 | Recall 0.5004 | TP 160118.6250 | TN 159995.5625 | FP 160004.4531 | FN 159881.3750
2021-10-05 22:59:34 - utils.py[line:544] - INFO: - F1 0.5003 | Precision 0.5002 | Recall 0.5004 | TP 160132.5156 | TN 159995.2812 | FP 160004.7188 | FN 159867.4844
2021-10-05 22:59:59 - utils.py[line:544] - INFO: - F1 0.5003 | Precision 0.5002 | Recall 0.5005 | TP 160146.8906 | TN 159995.5312 | FP 160004.4688 | FN 159853.1094
2021-10-05 23:00:23 - utils.py[line:544] - INFO: - F1 0.5003 | Precision 0.5002 | Recall 0.5004 | TP 160135.8438 | TN 159994.0312 | FP 160005.9688 | FN 159864.1406
2021-10-05 23:00:47 - utils.py[line:544] - INFO: - F1 0.5004 | Precision 0.5002 | Recall 0.5005 | TP 160159.4062 | TN 159992.2969 | FP 160007.7031 | FN 159840.5938
2021-10-05 23:01:11 - utils.py[line:544] - INFO: - F1 0.5004 | Precision 0.5002 | Recall 0.5005 | TP 160152.6875 | TN 159993.7812 | FP 160006.2188 | FN 159847.3125
2021-10-05 23:01:34 - utils.py[line:544] - INFO: - F1 0.5004 | Precision 0.5003 | Recall 0.5005 | TP 160171.0938 | TN 159992.6875 | FP 160007.3125 | FN 159828.9062
2021-10-05 23:01:59 - utils.py[line:544] - INFO: - F1 0.5004 | Precision 0.5003 | Recall 0.5005 | TP 160174.1250 | TN 159993.2656 | FP 160006.7344 | FN 159825.8750
2021-10-05 23:02:23 - utils.py[line:544] - INFO: - F1 0.5005 | Precision 0.5003 | Recall 0.5006 | TP 160193.8438 | TN 159995.0000 | FP 160005.0000 | FN 159806.1562
2021-10-05 23:02:47 - utils.py[line:544] - INFO: - F1 0.5006 | Precision 0.5004 | Recall 0.5008 | TP 160254.4062 | TN 159983.7188 | FP 160016.2812 | FN 159745.5938
2021-10-05 23:03:11 - utils.py[line:544] - INFO: - F1 0.5004 | Precision 0.5003 | Recall 0.5006 | TP 160193.9688 | TN 159992.7812 | FP 160007.2188 | FN 159806.0312
2021-10-05 23:03:34 - utils.py[line:544] - INFO: - F1 0.5005 | Precision 0.5003 | Recall 0.5006 | TP 160202.5312 | TN 159993.8125 | FP 160006.1875 | FN 159797.4688
2021-10-05 23:03:58 - utils.py[line:544] - INFO: - F1 0.5004 | Precision 0.5003 | Recall 0.5006 | TP 160184.7031 | TN 159992.1094 | FP 160007.8750 | FN 159815.2969
2021-10-05 23:04:23 - utils.py[line:544] - INFO: - F1 0.5005 | Precision 0.5003 | Recall 0.5007 | TP 160229.5312 | TN 159988.8594 | FP 160011.1562 | FN 159770.4688
2021-10-05 23:04:47 - utils.py[line:544] - INFO: - F1 0.5007 | Precision 0.5005 | Recall 0.5010 | TP 160309.8438 | TN 159982.7031 | FP 160017.2969 | FN 159690.1562
2021-10-05 23:04:47 - main_link_prediction.py[line:294] - INFO: - Epoch 00000 | Step 00040 | Loss 65.0905 | F1 0.5003 0.5002 0.5004 | Speed (samples/sec) 13325.7584|13325.7584 | Load 6.5927| train 17.4229 | GPU 2752.9 MB
2021-10-05 23:05:11 - utils.py[line:544] - INFO: - F1 0.5006 | Precision 0.5004 | Recall 0.5008 | TP 160241.4531 | TN 159986.1562 | FP 160013.8438 | FN 159758.5312
2021-10-05 23:05:35 - utils.py[line:544] - INFO: - F1 0.5007 | Precision 0.5004 | Recall 0.5009 | TP 160301.1250 | TN 159981.1094 | FP 160018.8906 | FN 159698.8750
2021-10-05 23:05:59 - utils.py[line:544] - INFO: - F1 0.5007 | Precision 0.5005 | Recall 0.5010 | TP 160305.4688 | TN 159984.9688 | FP 160015.0156 | FN 159694.5312
2021-10-05 23:06:23 - utils.py[line:544] - INFO: - F1 0.5007 | Precision 0.5004 | Recall 0.5010 | TP 160304.1875 | TN 159981.6562 | FP 160018.3438 | FN 159695.8125
2021-10-05 23:06:46 - utils.py[line:544] - INFO: - F1 0.5007 | Precision 0.5005 | Recall 0.5009 | TP 160302.4375 | TN 159987.4844 | FP 160012.5156 | FN 159697.5625
2021-10-05 23:07:10 - utils.py[line:544] - INFO: - F1 0.5009 | Precision 0.5005 | Recall 0.5012 | TP 160375.2188 | TN 159973.1562 | FP 160026.8438 | FN 159624.7656
2021-10-05 23:07:35 - utils.py[line:544] - INFO: - F1 0.5010 | Precision 0.5006 | Recall 0.5014 | TP 160432.0625 | TN 159969.2500 | FP 160030.7344 | FN 159567.9219
2021-10-05 23:07:58 - utils.py[line:544] - INFO: - F1 0.5008 | Precision 0.5005 | Recall 0.5011 | TP 160357.2812 | TN 159983.4062 | FP 160016.5938 | FN 159642.7188
2021-10-05 23:08:22 - utils.py[line:544] - INFO: - F1 0.5008 | Precision 0.5005 | Recall 0.5011 | TP 160347.3594 | TN 159976.6875 | FP 160023.3125 | FN 159652.6406
